label,B10,B11,B1,B2,B3,B4,B5,B6,B7,B9
1.0,21803.0,20577.0,8217.0,7520.0,6593.0,5875.0,5451.0,5133.0,5077.0,5022.0
1.0,21821.0,20601.0,8209.0,7518.0,6598.0,5863.0,5447.0,5137.0,5085.0,5016.0
1.0,21869.0,20644.0,8215.0,7519.0,6617.0,5883.0,5465.0,5158.0,5088.0,5027.0
1.0,21966.0,20703.0,8198.0,7524.0,6611.0,5878.0,5462.0,5165.0,5097.0,5026.0
1.0,21830.0,20664.0,8228.0,7532.0,6601.0,5881.0,5450.0,5142.0,5087.0,5024.0
1.0,21797.0,20633.0,8227.0,7517.0,6604.0,5873.0,5447.0,5123.0,5068.0,5032.0
1.0,21773.0,20608.0,8227.0,7512.0,6598.0,5875.0,5461.0,5143.0,5071.0,5031.0
1.0,21765.0,20586.0,8215.0,7503.0,6596.0,5875.0,5457.0,5137.0,5077.0,5032.0
1.0,21768.0,20571.0,8211.0,7503.0,6594.0,5878.0,5457.0,5146.0,5075.0,5054.0
1.0,21780.0,20569.0,8217.0,7513.0,6600.0,5875.0,5463.0,5137.0,5076.0,5012.0
1.0,21798.0,20573.0,8219.0,7519.0,6599.0,5888.0,5464.0,5138.0,5075.0,5030.0
1.0,21813.0,20581.0,8223.0,7510.0,6604.0,5893.0,5455.0,5154.0,5088.0,5031.0
1.0,21825.0,20589.0,8223.0,7528.0,6599.0,5891.0,5446.0,5139.0,5082.0,5034.0
1.0,21831.0,20595.0,8222.0,7527.0,6591.0,5881.0,5433.0,5138.0,5088.0,5032.0
1.0,21840.0,20605.0,8213.0,7526.0,6593.0,5880.0,5451.0,5138.0,5078.0,5038.0
1.0,21852.0,20632.0,8198.0,7506.0,6602.0,5875.0,5446.0,5147.0,5083.0,5033.0
1.0,21881.0,20670.0,8228.0,7506.0,6606.0,5874.0,5452.0,5152.0,5085.0,5047.0
1.0,21955.0,20672.0,8216.0,7522.0,6606.0,5882.0,5468.0,5167.0,5101.0,5038.0
2.0,18496.0,17783.0,32635.0,34288.0,34509.0,35694.0,33132.0,6041.0,5832.0,5079.0
2.0,18505.0,17781.0,32806.0,34604.0,34523.0,35823.0,33437.0,6049.0,5837.0,5077.0
2.0,18508.0,17789.0,32899.0,34650.0,34670.0,35811.0,33276.0,5990.0,5787.0,5086.0
2.0,18506.0,17807.0,33421.0,35328.0,35691.0,36922.0,33850.0,5981.0,5800.0,5089.0
2.0,18506.0,17830.0,33416.0,35376.0,35692.0,36753.0,33663.0,6000.0,5803.0,5091.0
2.0,18508.0,17848.0,31163.0,33051.0,34130.0,35059.0,32673.0,6020.0,5783.0,5080.0
2.0,18488.0,17768.0,31384.0,32841.0,33886.0,35435.0,32971.0,5971.0,5778.0,5096.0
2.0,18502.0,17769.0,33453.0,35337.0,35556.0,37246.0,34269.0,6001.0,5796.0,5087.0
2.0,18507.0,17780.0,31922.0,33621.0,34018.0,35411.0,33012.0,6009.0,5773.0,5093.0
2.0,18512.0,17799.0,33558.0,35478.0,35881.0,37185.0,33999.0,5942.0,5770.0,5102.0
2.0,18523.0,17818.0,34209.0,35761.0,36184.0,37889.0,34446.0,5924.0,5761.0,5093.0
2.0,18536.0,17833.0,32957.0,34655.0,34749.0,36397.0,33682.0,5948.0,5756.0,5072.0
2.0,18610.0,17870.0,33090.0,34852.0,35054.0,36330.0,33378.0,5960.0,5773.0,5079.0
2.0,18645.0,17880.0,33657.0,35517.0,35773.0,36581.0,33326.0,5990.0,5796.0,5081.0
2.0,18659.0,17870.0,30696.0,31960.0,31582.0,32896.0,31342.0,6161.0,5890.0,5082.0
2.0,18640.0,17853.0,29270.0,30539.0,30031.0,30942.0,29917.0,6190.0,5871.0,5087.0
2.0,18474.0,17759.0,34043.0,36089.0,36359.0,37435.0,34012.0,5974.0,5813.0,5089.0
2.0,18483.0,17757.0,34217.0,36221.0,36738.0,37828.0,34322.0,5977.0,5814.0,5083.0
2.0,18488.0,17768.0,33358.0,35379.0,35562.0,37026.0,33582.0,6032.0,5809.0,5081.0
